study_id,title,year,source,stage,decision,exclusion_reason
S001,Mental Health Impacts of Climate Change Among Vulnerable Populations Globally: An Integrative Review.,2023,pubmed:37810609,title_abstract,exclude,5.2.6 review; 5.1.2 not skilled migrants
S002,Navigating maternity health care: a survey of the Canadian prairie newcomer experience.,2014,pubmed:24393386,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S003,Psychological morbidity in Nepali cross-border migrants in India: a community based cross-sectional study.,2019,pubmed:31730454,title_abstract,exclude,5.1.2 semi/unskilled workers; 5.2.8 return migrants
S004,Psychological Distress and Associated Factors among Technical Intern Trainees in Japan: A Cross-Sectional Study.,2024,pubmed:39200574,title_abstract,exclude,5.1.2 low- or semi-skilled migrant workers
S005,Mental Health Care Access and Individual Help-Seeking During the Covid-19 Pandemic.,2022,pubmed:35467308,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S006,[Unaccompanied Minors: Individual Trajectories Confronting Politics].,2020,pubmed:33651934,title_abstract,exclude,5.1.1 children/adolescents
S007,Health and self-perceived barriers to internet use among older migrants: a population-based study.,2022,pubmed:35321678,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S008,Transnational Motherhood: Health of Hispanic Mothers in the United States Who Are Separated From Children.,2017,pubmed:27093905,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S009,Burnout and Emotional Well-Being among Nephrology Fellows: A National Online Survey.,2020,pubmed:32123052,title_abstract,include,
S010,Simplifying phrases in depression screens: Interpreters' views on usefulness in six languages.,2023,pubmed:38064472,title_abstract,exclude,5.2.5 no depressive-symptom outcome for migrants (methods/provider/service focus)
S011,Decoding the impact of night/day shiftwork on well-being among healthcare workers.,2024,pubmed:38702344,title_abstract,exclude,"5.2.1 Nigerian health workers in Nigeria, not international migrants"
S012,"Private religion/spirituality, self-rated health, and mental health among US South Asians.",2020,pubmed:31650305,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S013,Use of mental health services among disaster survivors: predisposing factors.,2007,pubmed:17650339,title_abstract,exclude,5.2.5 no depressive-symptom outcome for migrants (methods/provider/service focus)
S014,Migrants' experiences as health ambassadors during the COVID-19 pandemic in Norway-a qualitative study.,2025,pubmed:40307864,title_abstract,exclude,5.2.5 no depressive-symptom outcome for migrants (methods/provider/service focus)
S015,Mental health morbidity among people subject to immigration detention in the UK: a feasibility study.,2018,pubmed:28637536,title_abstract,exclude,5.2.4 forced-migrant sample without prior-profession data
S016,Examining Pre-migration Health Among Filipino Nurses.,2015,pubmed:25385090,title_abstract,include,
S017,The tip of the iceberg: postpartum suicidality in Israel.,2018,pubmed:29936911,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S018,Examining Processes of Care Redesign: Direct Observation of Group Well-Child Care.,2023,pubmed:36286247,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S019,HIV and religion in HIV-infected Asians and their families: A qualitative study.,2018,pubmed:30389055,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S020,Interactions of perinatal depression versus anxiety and infants' early temperament trajectories.,2024,pubmed:38010823,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S021,Assessing psychological symptoms in recent immigrant adolescents.,2011,pubmed:20821266,title_abstract,exclude,5.1.1 children/adolescents
S022,Women brothel workers and occupational health risks.,2003,pubmed:14573588,title_abstract,exclude,5.1.2 low- or semi-skilled migrant workers
S023,Depressive Symptoms and the Link with Academic Performance among Rural Taiwanese Children.,2020,pubmed:32316516,title_abstract,exclude,5.1.1 children/adolescents
S024,Preferences for mental health treatment for post-partum depression among new mothers.,2019,pubmed:31806009,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S025,Factors Associated With Habitual Drug Use Among Adolescents: A Secondary Data Analysis.,2025,pubmed:39742992,title_abstract,exclude,5.1.1 children/adolescents
S026,Identifying medical students at risk of underperformance from significant stressors.,2016,pubmed:26837428,title_abstract,exclude,5.2.3 current students
S027,"Psychological distress, resettlement stress, and lower school engagement among Arabic-speaking refugee parents in Sydney, Australia: A cross-sectional cohort study.",2021,pubmed:34252076,title_abstract,exclude,5.2.4 forced-migrant sample without prior-profession data
S028,How the Coronavirus Lockdown Impacts the Impoverished in India.,2021,pubmed:33104967,title_abstract,exclude,5.2.1 internal migration
S029,Depressive symptoms and negative life events: What psycho-social factors protect or harm left-behind children in China?,2017,pubmed:29246120,title_abstract,exclude,5.1.1 children/adolescents
S030,Loneliness at Universities: Determinants of Emotional and Social Loneliness among Students.,2018,pubmed:30158447,title_abstract,exclude,5.2.3 current students
S031,Emotional and behavioral problems in migrant children.,2003,pubmed:12596091,title_abstract,exclude,5.1.1 children/adolescents
S032,COVID 19 pandemic: Mental health challenges of internal migrant workers of India.,2020,pubmed:32593122,title_abstract,exclude,5.2.1 internal migration
S033,Health-related and social factors predicting non-reemployment amongst newly unemployed.,2012,pubmed:23092291,title_abstract,exclude,5.2.5 no depressive-symptom outcome for migrants (methods/provider/service focus)
S034,"Immigration, acculturation, and preferred help-seeking sources for depression: comparison of five ethnic groups.",2020,pubmed:32652988,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S035,"Uncertainties, Fear and Stigma: Perceptions of Zika Virus among Pregnant Women in Spain.",2020,pubmed:32933007,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S036,Depression as a Risk Factor for Physical Illness and Multimorbidity in a Cohort with No Prior Comorbidity.,2021,pubmed:33242993,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S037,Feasibility and Acceptability of a Video Group Psychoeducational Intervention with Latina Immigrant Mothers to Enhance Infant Primary care.,2024,pubmed:38963477,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S038,Self-perceived mobility in immigrants in Sweden living with the late effects of polio.,2020,pubmed:30907167,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S039,The Extent of Psychosocial Distress among Immigrant and Non-Immigrant Homecare Nurses-A Comparative cross Sectional Survey.,2020,pubmed:32138277,title_abstract,include,
S040,Patient-reported outcomes and experiences in the transition of undocumented patients from emergency to scheduled hemodialysis.,2021,pubmed:33129568,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S041,Mental health in immigrant children in the Netherlands.,2005,pubmed:16003599,title_abstract,exclude,5.1.1 children/adolescents
S042,Residents' preferences and preparation for caring for underserved populations.,2001,pubmed:11564855,title_abstract,exclude,5.2.5 IMG status is a covariate; no depressive-symptom outcome
S043,Adapting Meaning-Centered Psychotherapy in Advanced Cancer for the Chinese Immigrant Population.,2018,pubmed:28455760,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S044,Patient reported symptom burden amongst immigrant and Canadian long-term resident women undergoing breast cancer surgery.,2023,pubmed:37081175,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S045,Mental health of undocumented migrants and migrants undergoing regularization in Switzerland: a cross-sectional study.,2021,pubmed:33794822,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S046,Decoding acculturative stress and psychological distress in Mexican immigrant women: insights from a path mediation analysis.,2024,pubmed:39731083,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S047,Academic Performance and the Link with Depressive Symptoms among Rural Han and Minority Chinese Adolescents.,2022,pubmed:35627563,title_abstract,exclude,5.1.1 children/adolescents
S048,Insights from the EQUALS4COVID19 study on migrant mental health in Portugal: a cross-sectional mixed-methods approach.,2024,pubmed:39075428,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S049,Examining the Relation between Caregiver Mental Health and Student Outcomes in Rural China.,2021,pubmed:34886336,title_abstract,exclude,5.1.1 children/adolescents
S050,Using the PDCA cycle to uncover sources of mental health disparities for Hispanics.,2023,pubmed:36533717,title_abstract,exclude,5.2.5 no depressive-symptom outcome for migrants (methods/provider/service focus)
S051,How does working time impact perceived mental disorders? New insights into the U-shaped relationship.,2024,pubmed:39022408,title_abstract,exclude,5.2.1 internal migration
S052,Discrimination and Depressive Symptoms Among Latina/o Adolescents of Immigrant Parents.,2016,pubmed:26861795,title_abstract,exclude,5.1.1 children/adolescents
S053,Patterns of mental health help seeking among Latina immigrant women.,2025,pubmed:40813640,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S054,"[Acculturation, bicultural identity and psychiatric morbidity in young Turkish patients in Germany].",2009,pubmed:19504364,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S055,[Ethnopsychiatry in the elderly].,2009,pubmed:19720578,title_abstract,exclude,5.2.6 review/protocol/commentary
S056,"A Global Survey of Ethnic Indian Women Living with Polycystic Ovary Syndrome: Co-Morbidities, Concerns, Diagnosis Experiences, Quality of Life, and Use of Treatment Methods.",2022,pubmed:36497927,title_abstract,exclude,5.2.5 no depressive-symptom outcome for migrants (methods/provider/service focus)
S057,Efficacy of a Latino mother-child communication intervention in elementary schools.,2015,pubmed:24643757,title_abstract,exclude,5.1.1 children/adolescents
S058,Quality of Life and Psychometric Characteristics of Syrian Refugee Physicians Who Migrated to Turkey: A Cross-Sectional Study.,2023,pubmed:38094991,title_abstract,include,
S059,Effect of trauma on asylum seekers and refugees receiving a WHO psychological intervention: a mediation model.,2024,pubmed:38828909,title_abstract,exclude,5.2.4 forced-migrant sample without prior-profession data
S060,"Race/Ethnicity and self-reported levels of discrimination and psychological distress, California, 2005.",2012,pubmed:23078667,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S061,Acculturation and self-reported health among Hispanics using a socio-behavioral model: the North Texas Healthy Heart Study.,2010,pubmed:20122263,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S062,Measurement equivalence of the Kessler 6 Psychological Distress Scale for Chinese and Korean immigrants: Comparison between younger and older adults.,2020,pubmed:32172536,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S063,Migrant health in cancer: outcome disparities and the determinant role of migrant-specific variables.,2015,pubmed:25802406,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S064,Depression and anxiety among first-generation immigrant Latino youth: key correlates and implications for future research.,2010,pubmed:20611049,title_abstract,exclude,5.1.1 children/adolescents
S065,Informal coercion during childbirth: risk factors and prevalence estimates from a nationwide survey of women in Switzerland.,2021,pubmed:33971841,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S066,Addressing Psychosocial Topics in Group Well-Child Care: A Multi-Method Study With Immigrant Latino Families.,2022,pubmed:33992841,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S067,Health Care Access and Physical and Behavioral Health Among Undocumented Latinos in California.,2018,pubmed:30216201,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S068,"Migration experiences, employment status and psychological distress among Somali immigrants: a mixed-method international study.",2012,pubmed:22954304,title_abstract,include,
S069,What Is Frailty? Perspectives from Chinese Clinicians and Older Immigrants in New Zealand.,2021,pubmed:33830425,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S070,"Detained asylum seekers, health care, and questions of human(e)ness.",2003,pubmed:14705298,title_abstract,exclude,5.2.4 forced-migrant sample without prior-profession data
S071,"Psychological implications of unemployment among higher educated migrant youth in Kolkata City, India.",2024,pubmed:38702409,title_abstract,exclude,5.2.1 internal migrants (Kolkata); note: graduate-youth design otherwise close to recent_graduate group
S072,Precarious employment and migrant workers' mental health: a protocol for a systematic review of observational studies.,2020,pubmed:32145747,title_abstract,exclude,5.2.6 review/protocol/commentary
S073,Health Status and Association With Interpersonal Relationships Among Chinese Children From Urban Migrant to Rural Left-Behind.,2022,pubmed:35425735,title_abstract,exclude,5.1.1 children/adolescents
S074,Bi-dimensional acculturation and depressive symptom trajectories from pregnancy to 1 year postpartum in marriage-based immigrant women in Taiwan.,2022,pubmed:33261673,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S075,The association between cross-cultural competence and well-being among registered native and foreign-born nurses in Finland.,2018,pubmed:30532137,title_abstract,include,
S076,Carers' representations of affective mental disorders in British Chinese communities.,2012,pubmed:22332911,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S077,"Mental health priorities and cultural-responsiveness of the Mental Health First Aid (MHFA) training for Asian immigrant populations in Greater Boston, Massachusetts.",2024,pubmed:39014363,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S078,Barriers and facilitators to mental health promotion for Mexican immigrants in the U.S. through the Ventanillas de Salud program.,2023,pubmed:37841719,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S079,Estimating the effects of immigration status on mental health care utilizations in the United States.,2011,pubmed:21286813,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S080,"""Tension"" in South Asian women: developing a measure of common mental disorder using participatory methods.",2013,pubmed:24375184,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S081,Examining recovery and mental health service satisfaction among young immigrant Muslim women with mental distress in Quebec.,2024,pubmed:38956511,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S082,Acculturation and orofacial pain among Hispanic adults.,2008,pubmed:18456564,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S083,Interdisciplinary pain rehabilitation for immigrants with chronic pain who need language interpretation - a one-year follow-up.,2026,pubmed:42496609,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S084,Latino immigrants' intentions to seek depression care.,2007,pubmed:17535121,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S085,"Is violent radicalisation associated with poverty, migration, poor self-reported health and common mental disorders?",2014,pubmed:24599058,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S086,Is breastfeeding duration related to the health of migrant mother-child dyads experiencing homelessness? The ENFAMS cross-sectional survey.,2023,pubmed:37339520,title_abstract,exclude,5.1.2 perinatal/mother sample not defined by skill
S087,"Mental health of South Asian youth in Peel Region, Toronto, Canada: a qualitative study of determinants, coping strategies and service access.",2017,pubmed:29101148,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S088,A brief transdiagnostic psychological intervention for Afghan asylum seekers and refugees in Austria: a randomized controlled trial.,2020,pubmed:31918760,title_abstract,exclude,5.2.4 forced-migrant sample without prior-profession data
S089,The role of self-rated mental health in seeking professional mental health services among older Korean immigrants.,2021,pubmed:32349527,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S090,Under-use of migrants' employment skills linked to poorer mental health.,2012,pubmed:22487345,title_abstract,include,
S091,Mental Health and COVID-19 Pandemic Stressors Among Latina/o/x College Students with Varying Self and Parental Immigration Status.,2023,pubmed:35072943,title_abstract,exclude,5.2.3 current students
S092,Effect of race and sex on primary care physicians' diagnosis and treatment of late-life depression.,2005,pubmed:15877552,title_abstract,exclude,5.2.5 physician diagnostic behaviour study; no migrant outcome
S093,Experiences of discrimination among Chinese American adolescents and the consequences for socioemotional and academic development.,2009,pubmed:19899924,title_abstract,exclude,5.1.1 children/adolescents
S094,"Life course rural/urban place of residence, depressive symptoms and cognitive impairment among older adults: findings from the Longitudinal Aging Study in India.",2023,pubmed:37268912,title_abstract,exclude,5.2.1 internal migration
S095,PTSD in urban primary care: high prevalence and low physician recognition.,2007,pubmed:17503105,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S096,Health care professionals' experiences of screening immigrant mothers for postpartum depression-a qualitative systematic review.,2022,pubmed:35834550,title_abstract,exclude,5.2.6 review/protocol/commentary
S097,mHealth based intervention by social care professionals to support family caregivers to persons with dementia living at home in Sweden (Caregiver Connect): a randomized controlled trial.,2024,pubmed:38877412,title_abstract,exclude,5.2.6 review/protocol/commentary
S098,"Integrating evidence and causal mapping of help-seeking behaviour of migrant women with postpartum depression in Shanghai, China: a scoping review protocol.",2024,pubmed:38951005,title_abstract,exclude,5.2.6 review/protocol/commentary
S099,Factors influencing the psychological help-seeking behaviour of migrant older adults in China: a cross-sectional study.,2025,pubmed:41584174,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S100,"Symptoms of depression and anxiety, and unmet healthcare needs in adults during the COVID-19 pandemic: a cross-sectional study from the Canadian Longitudinal Study on Aging.",2022,pubmed:36456993,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S101,Maternal Filicide among Women Admitted to Forensic Psychiatric Institutions in Malaysia: Case Series.,2015,pubmed:26118747,title_abstract,exclude,"5.1.2 forensic case series, not a skilled-migrant sample; 5.2.5"
S102,"Mental health and migration: depression, alcohol abuse, and access to health care among migrants in Central Asia.",2014,pubmed:24186359,title_abstract,exclude,5.1.2 general or community migrant sample not defined by skill
S103,Dignity of Work and at Work: The Relationship between Workplace Dignity and Health among Latino Immigrants during the COVID-19 Pandemic.,2024,pubmed:39063431,title_abstract,exclude,"5.1.2 low-income Latino immigrants, qualitative; note: underemployment and job loss linked to depression (factor context only)"
S104,The Social Determinants of Refugee Mental Health in the Post-Migration Context: A Critical Review.,2018,pubmed:29202665,title_abstract,exclude,5.2.6 review/protocol/commentary
S105,Predictors of professional help-seeking for emotional problems in Afghan and Iraqi refugees in Australia: findings from the Building a New Life in Australia Database.,2019,pubmed:31703660,title_abstract,exclude,5.2.4 forced-migrant sample without prior-profession data
S106,Identification of Emotional Distress Among Asylum Seekers and Migrant Workers by Primary Care Physicians: A Brief Report.,2015,pubmed:27357550,title_abstract,exclude,5.2.4 forced-migrant sample without prior-profession data
S107,"Microbusinesses and Occupational Stress: Emotional Demands, Job Resources, and Depression Among Korean Immigrant Microbusiness Owners in Toronto, Canada.",2019,pubmed:31588699,title_abstract,include,
