row,scene,search_query,fallback_query,note
1,1,man driving taxi at night,taxi driver city night,stethoscope motif not needed; taxi interior
2,1,engineer nurse teacher working,professionals at work montage,several professions
3,1,young graduate walking with suitcase,graduation walk sunrise,recent graduate
4,1,two people different paths city,crossroads city walking,title card overlay
5,2,researcher reading papers,library reading study,PYROS logo overlay
6,2,empty glass jar table,jar filling water,two jars idea
7,2,scientist searching documents,magnifying glass papers,method
8,2,warning sign caution,honest conversation calm,rapid review caution
9,3,stack of papers research,many documents desk,215 records
10,3,question mark thinking person,puzzled person thinking,missing comparison
11,3,earth globe rotating,world map people,millions of families
12,3,row of documents on desk,seven papers arranged,seven studies
13,3b,thinking about limits,person reflecting window,three cautions
14,3b,camera taking photo,single photograph snapshot,snapshot
15,3b,small group of people,magnifying glass small group,small study
16,3b,cards laid side by side,comparing documents table,side by side
17,4,nurse home care visit,nurse helping elderly patient home,Germany nurses
18,4,two nurses smiling colleagues,nurses working together hospital,about the same
19,4,nurse Finland hospital,nurse walking hospital corridor,Finland
20,4,professional office Toronto,business people office city,Toronto workers
21,4,open door light,doorway light entering,through the door
22,4,confident professional walking,professional at work confident,everyone else
23,5,waiting room clock,clock ticking waiting,waiting room
24,5,ladder against wall,person climbing ladder,ladder
25,5,person walking down stairs alone,sad person sitting alone,falling down ladder
26,5,refugees walking with luggage,people arriving train station luggage,Ukraine Russia forced migrants
27,5,warehouse worker packing,cleaner working night shift,working below level
28,5,pieces of puzzle clue,detective puzzle pieces,a clue not a proof
29,5,doctor white coat hanging,doctor putting on white coat,I am still a doctor
30,6,microphone interview close up,podcast microphone,voices
31,6,telephone ringing unanswered,old telephone ringing,unanswered calls
32,6,surgeon operating room,surgeon hands operating,worst feeling
33,6,woman hijab job interview,muslim woman office professional,hijab interview
34,6,handshake hospital corridor,doctors handshake,treated as colleague
35,6,passport stamp close up,passport airport,single entry visa
36,6,video call family phone,woman looking at phone sad,family far away
37,6,paused calendar waiting,calendar pages turning,life on hold
38,7,five circles abstract,five lights turning on,five answers
39,7,lecture hall teaching university,mentor and student university,Norway placement
40,7,person smiling relief outdoors,confident smile professional,myself again
41,7,child holding parent hand,mother with child happy,family pride
42,7,colleagues coffee break laughing,coworkers talking coffee,good colleagues
43,7,doctor wearing white coat,doctor confident hospital,holding identity
44,7,person studying language book,language class learning,language
45,7,neighbour waving welcome,friendly people greeting,welcome is medicine
46,7,person writing list planning,person organizing notes,active coping
47,8,two people different directions,split path decision,back to the question
48,8,man leaving taxi walking to hospital,doctor walking into hospital,out of the taxi
49,8,researcher writing notes,scientist thinking future,fair guess
50,9,doctor portrait thoughtful,african doctor portrait,Dr Okpara segment
51,10,people working office montage,skilled migrants working,for migrants
52,10,manager answering phone,office phone call smiling,answer the phone
53,10,people sharing phone video,friends sharing phone,share it
