row,query,pexels_url,author,author_url,duration_s
0,man driving taxi at night,https://www.pexels.com/video/moody-nighttime-drive-in-black-and-white-34279641/,Burak Bahadır  Büyükkılınç,https://www.pexels.com/@bahadirbuyukkilinc,9
1,engineer nurse teacher working,https://www.pexels.com/video/healthcare-team-collaboration-in-hospital-setting-30141967/,Adventist Asia,https://www.pexels.com/@adventistasia,7
2,young graduate walking with suitcase,https://www.pexels.com/video/graduates-posing-on-camera-8060868/,olia danilevich,https://www.pexels.com/@olia-danilevich,14
3,two people different paths city,https://www.pexels.com/video/monochrome-walk-along-the-waterfront-29854892/,Altaf Shah,https://www.pexels.com/@altaf-shah-3143825,13
4,researcher reading papers,https://www.pexels.com/video/man-doing-a-research-6281083/,Yaroslav Shuraev,https://www.pexels.com/@yaroslav-shuraev,22
5,glass jar coins filling,https://www.pexels.com/video/falling-euro-coins-into-glass-jar-for-savings-34263260/,Just For Music And Film,https://www.pexels.com/@mackeionesco,9
6,scientist searching documents,https://www.pexels.com/video/looking-among-files-6549976/,Tima Miroshnichenko,https://www.pexels.com/@tima-miroshnichenko,22
7,person reading document carefully,https://www.pexels.com/video/woman-looking-on-documents-8731555/,Mikhail Nilov,https://www.pexels.com/@mikhail-nilov,25
8,stack of papers research,https://www.pexels.com/video/person-writing-in-dimly-lit-room-with-papers-30117913/,utopia 36,https://www.pexels.com/@utopia36,21
9,person thinking looking up,https://www.pexels.com/video/a-man-with-a-serious-facial-expression-4849133/,Skinny Tie Media,https://www.pexels.com/@skinny-tie-media-3205510,3
10,earth globe rotating,https://www.pexels.com/video/planet-earth-revolving-854518/,Pixabay,https://www.pexels.com/@pixabay,20
11,row of documents on desk,https://www.pexels.com/video/a-woman-getting-a-file-6538597/,cottonbro studio,https://www.pexels.com/@cottonbro,18
12,thinking about limits,https://www.pexels.com/video/man-with-hands-on-head-6281208/,Yaroslav Shuraev,https://www.pexels.com/@yaroslav-shuraev,26
13,camera taking photo,https://www.pexels.com/video/close-up-shot-of-dslr-camera-screen-7100983/,Gustavo Fring,https://www.pexels.com/@gustavo-fring,13
14,small group of people,https://www.pexels.com/video/people-having-a-conversation-at-the-office-8643701/,Edmond Dantès,https://www.pexels.com/@edmond-dantes,15
15,cards laid side by side,https://www.pexels.com/video/side-view-of-a-woman-doing-fortune-telling-to-her-customer-7221204/,Pavel Danilyuk,https://www.pexels.com/@pavel-danilyuk,40
16,nurse home care visit,https://www.pexels.com/video/a-nurse-talking-to-a-patietnt-7475237/,Antoni Shkraba,https://www.pexels.com/@shkrabaanthony,15
17,two nurses smiling colleagues,https://www.pexels.com/video/back-view-of-medical-professional-walking-on-a-hallway-8381601/,Pavel Danilyuk,https://www.pexels.com/@pavel-danilyuk,19
18,nurse Finland hospital,https://www.pexels.com/video/nurse-measuring-patient-s-blood-pressure-6130120/,RDNE Stock project,https://www.pexels.com/@rdne,20
19,professional office Toronto,https://www.pexels.com/video/drone-shot-of-skyscrapers-in-city-10270662/,Davis Bae,https://www.pexels.com/@torontorealtor,54
20,open door light,https://www.pexels.com/video/woman-walking-and-getting-scared-at-night-10577436/,Nickole,https://www.pexels.com/@nickole-1079929,26
21,confident professional walking,https://www.pexels.com/video/person-looking-at-his-watch-4992300/,Ketut Subiyanto,https://www.pexels.com/@ketut-subiyanto,11
22,waiting room clock,https://www.pexels.com/video/a-round-wall-clock-8363903/,RDNE Stock project,https://www.pexels.com/@rdne,10
23,man climbing wooden ladder,https://www.pexels.com/video/woman-climbing-wooden-observatory-4928302/,Martina Tomšič,https://www.pexels.com/@martina-tomsic-1656378,20
24,person walking down stairs alone,https://www.pexels.com/video/a-woman-walking-down-stairs-5379627/,Allan Mas,https://www.pexels.com/@allan-mas,8
25,refugees walking with luggage,https://www.pexels.com/video/back-view-of-people-walking-in-the-aerobridge-3736790/,K,https://www.pexels.com/@kelly,14
26,warehouse worker packing,https://www.pexels.com/video/20682093/,PyccTypucT,https://www.pexels.com/@pycctypuct-691077792,106
