pmid,title,year,journal,pub_types,language,abstract
37810609,Mental Health Impacts of Climate Change Among Vulnerable Populations Globally: An  Integrative Review.,2023,Ann Glob Health,"Journal Article; Research Support, N.I.H., Extramural; Review",eng,"BACKGROUND: Climate change has been shown to be directly linked to multiple  physiological sequelae and to impact health consequences. However, the impact of climate change on mental health globally, particularly among vulnerable populations, is less well understood. OBJECTIVE: To explore the mental health impacts of climate change in vulnerable populations globally. METHODS: We performed an integrative literature review to identify published articles that addressed the research question: What are the mental health impacts of climate change among vulnerable populations globally? The Vulnerable Populations Conceptual Model served as a theoretical model during the review process and data synthesis. FINDINGS/RESULTS: One hundred and four articles were selected for inclusion in this review after a comprehensive review of 1828 manuscripts. Articles were diverse in scope and populations addressed. Land-vulnerable persons (either due to occupation or geographic location), Indigenous persons, children, older adults, and climate migrants were among the vulnerable populations whose mental health was most impacted by climate change. The most prevalent mental health responses to climate change included solastalgia, suicidality, depression, anxiety/eco-anxiety, PTSD, substance use, insomnia, and behavioral disturbance. CONCLUSIONS: Mental health professionals including physicians, nurses, physician assistants and other healthcare providers have the opportunity to mitigate the mental health impacts of climate change among vulnerable populations through assessment, preventative education and care. An inclusive and trauma-informed response to climate-related disasters, use of validated measures of mental health, and a long-term therapeutic relationship that extends beyond the immediate consequences of climate change-related events are approaches to successful mental health care in a climate-changing world."
24393386,Navigating maternity health care: a survey of the Canadian prairie newcomer  experience.,2014,BMC Pregnancy Childbirth,Journal Article,eng,"BACKGROUND: Immigration to Canada has significantly increased in recent years,  particularly in the Prairie Provinces. There is evidence that pregnant newcomer women often encounter challenges when attempting to navigate the health system. Our aim was to explore newcomer women's experiences in Canada regarding pregnancy, delivery and postpartum care and to assess the degree to which Canada provides equitable access to pregnancy and delivery services. METHODS: Data were obtained from the Canadian Maternity Experiences Survey. Women (N = 6,241) participated in structured computer-assisted telephone interviews. Women from Alberta, Saskatchewan and Manitoba were included in this analysis. A total of 140 newcomers (arriving in Canada after 1996) and 1137 Canadian-born women met inclusion criteria. RESULTS: Newcomers were more likely to be university graduates, but had lower incomes than Canadian-born women. No differences were found in newcomer ability to access acceptable prenatal care, although fewer received information regarding emotional and physical changes during pregnancy. Rates of C-sections were higher for newcomers than Canadian-born women (36.1% vs. 24.7%, p = 0.02). Newcomers were also more likely to be placed in stirrups for birth and have an assisted birth. CONCLUSION: Although newcomers residing in Prairie Provinces receive adequate maternity care, improvements are needed with respect to provision of information related to postpartum depression and informed choice around the need for C-sections."
31730454,Psychological morbidity in Nepali cross-border migrants in India: a community  based cross-sectional study.,2019,BMC Public Health,Journal Article,eng,"BACKGROUND: Since Nepali cross-border migrants can freely enter, work and stay in  India, they are largely undocumented. The majority is involved in semi-skilled or unskilled jobs with limited labour rights and social security, a fact which predisposes them to psychological distress. We aimed to assess the prevalence of and factors associated with psychological morbidity among Nepali migrants upon their return from India. METHODS: A community based cross-sectional study was conducted in six districts of Nepal between September 2017 and February 2018. A total of 751 participants who had worked at least six months in India and returned to Nepal were interviewed from 24 randomly selected clusters. The General Health Questionnaire (GHQ)-12 was used to measure the psychological morbidity. Data were analysed using Poisson regression analysis. RESULTS: The majority was younger than 35 years (64.1%), male (96.7%), married (81.8%), had at least a primary education (66.6%), and belonged to Dalit, Janajati and religious minorities (53.7%). The prevalence of psychological morbidity was 13.5% (CI: 11.2-16.1%). Participants aged 45 years and above (adjusted prevalence ratio (aPR) = 2.74), from the Terai (aPR = 3.29), a religious minority (aPR = 3.64), who received no sick leave (aPR = 2.4), with existing health problems (aPR = 2.0) and having difficulty in accessing health care (aPR = 1.88) were more likely than others to exhibit a psychological morbidity. CONCLUSION: This study demonstrated that psychological morbidity was prevalent in the study participants and varied significantly with individual characteristics, work conditions and health. Multifaceted approaches including psychological counselling for returnees and protection of labour and health rights in the workplace are recommended to help reduce psychological morbidity."
39200574,Psychological Distress and Associated Factors among Technical Intern Trainees in  Japan: A Cross-Sectional Study.,2024,Int J Environ Res Public Health,"Journal Article; Research Support, Non-U.S. Gov't",eng,"Japan is experiencing significant demographic shifts due to an aging and  declining population. In 1993, the Japanese Government introduced the Technical Intern Training Program (TITP) to accept foreign national workers. While the number of technical intern trainees under this program has constantly increased, many of them face challenges in their daily lives, such as stress, health insecurities and limited access to healthcare. Therefore, we conducted a cross-sectional study to assess the mental well-being of technical intern trainees, focusing on psychological distress and its related factors. This study included 304 technical intern trainees from 12 prefectures in Japan, and was conducted from August 2021 to October 2021. We used self-administered questionnaires in the participants' native languages to assess their sociodemographic conditions, health-related conditions such as health insecurities and healthcare-seeking behaviors, and psychological distress. The K6 Kessler Psychological Distress Scale was applied to evaluate the levels of psychological distress. Among the participants, 26.3% had moderate psychological distress and 2.3% had severe psychological distress. In addition, about 15% of the participants reported health insecurities and did not see a doctor despite wanting to. The multivariate model of logistic regression revealed significant associations between psychological distress and female gender (AOR 2.62, 95% CI 1.12-6.12), nationality other than Vietnamese (AOR 4.85, 95% CI 2.60-9.07), tough financial conditions (AOR 2.23, 95% CI 1.18-4.19), experiencing health insecurity (AOR 2.21, 95% CI 1.04-4.66) and the health behavior of refraining from seeking medical care (AOR 3.06, 95% CI 1.49-6.30). The top reasons for refraining from seeking medical care were the participants' limited knowledge about the healthcare system in Japan and their worries about medical bills. These findings highlight the necessity to extend mental health support services, including counseling services, and share information about Japan's healthcare system to supply medical services to the targeted technical intern trainee population."
35467308,Mental Health Care Access and Individual Help-Seeking During the Covid-19  Pandemic.,2022,Community Ment Health J,Journal Article,eng,"The UJA Covid-19 Jewish Impact Study constitutes a random sample of 4403 adults  in Jewish households in the New York area. Collected between February and May 2021, the data include symptoms of depression and anxiety and the use of professional help. Via respondents' zip code tabulation areas (ZCTAs), these data are linked to contextual measures of mental health care access from two data sources: the SAMHSA Locator on specialty community treatment clinics, and the Zip Code Business Patterns database on solo and small group practices. Both treatment facilities and office practices are added to multilevel logistic regression models as density rates (per 10,000 people) and as binary indicators of presence. While we find no meaningful relationship between the general presence of mental health care services and help-seeking behavior, the ZCTA-level density of office practices is significantly associated with service utilization among the socially isolated, foreign-born and Hispanics or non-white respondents."
33651934,[Unaccompanied Minors: Individual Trajectories Confronting Politics].,2020,Sante Ment Que,Case Reports; Journal Article,fre,"Objectives The article presents the clinical description and discussion of a 17  years old Moroccan unaccompanied minor who migrated on his own to France. This case illustrates the complexity of the foreign unaccompanied minors' trajectories and the challenges of the clinical and institutional accompaniment provided in France. In the lights of the results of our clinical work and research, we suggest transcultural tools and perspectives that facilitate the construction of a narrative and that reinforce trust with the professionals-care givers working along with this population. Creativity is needed in the care of foreign isolated young people, in the absence of the family. Past traumatic experiences in these youths' lives hinder the process of building trust in the host country's educational accompaniment. Method In the framework of our action research, we describe the transcultural therapy setting created by our team to address the unaccompanied minors' psychological distress. Aiming to encourage the emergence of a life narrative that had been obstructed and ruptured by traumatic experiences, we resort to various tools facilitating the storytelling (objects, circle test, mediators interpreters, transcultural interpretations). Results The discussion follows three stances: the anthropological perspective focusing on the specific situation of the harraga-young people wandering both on the psychic and physical levels-, the political perspective, and the trauma clinic perspective. The enhancement and deepening of the cross-cultural skills of social workers strengthen their resources and provide them with better tools to accompany these young people. Additionally, results highlight the impact of the political discourse and strategies in the social workers' self-perception and the strains it creates in their daily work. Conclusion The transcultural approach addressed to unaccompanied minors relaunches the identity construction process in adolescence, impeded by their traumatic journey in migration. This implies restoring coherence in the life path of young people despite the rupture caused by the migration, often reactivated by new separations during the repetitive changes of foster homes. The unaccompanied minors have the possibility, through this clinical setting to depict an accurate representation of themselves, to develop narratives that can outgrow the preconceptions associated with their status, opening a brighter way for their individual destinies."
35321678,Health and self-perceived barriers to internet use among older migrants: a  population-based study.,2022,BMC Public Health,"Journal Article; Research Support, Non-U.S. Gov't",eng,"BACKGROUND: In older adults, including those with a migrant background, ill  health is associated with less internet use. However, it is not known what are the specific self-perceived barriers to internet use among older migrants with different health conditions. The aim of this study was to investigate the associations between different health conditions and self-perceived barriers to internet use among older migrants. METHODS: We used the Care, Health and Ageing of Russian-speaking Minority in Finland (CHARM) study, which is a nationally representative survey of community-dwelling Russian-speaking adults aged ≥50 years living in Finland (N=1082, 57% men, mean age 63.2 years, standard deviation 8.4 years, response rate 36%). Postal survey data were collected in 2019. Health indicators were self-rated health (SRH), depressive symptoms, cognitive functioning, and doctor-diagnosed conditions. Linear regression analyses were used to investigate the associations between health indicators and a summary scale consisting of the following barriers of internet use: (1) internet use is too complicated and hard to learn; (2) having concerns about safety issues; (3) internet use is too expensive; (4) physical limitations hinder the internet use; (5) memory problems hinder the internet use. In addition, the two most commonly reported barriers (the first two) were examined separately using logistic regression analyses. The analyses were adjusted for age, sex, education, marital status, local language proficiency, and income support, and the health conditions, and were performed with weights accounting for the survey design and non-response. RESULTS: After adjustments, spine/back problems (b=0.13; p=0.049), depressive symptoms (b=0.40; p=0.007), and problems in learning new things (b=0.60; p<0.0005) were associated with higher level of overall barriers to internet use. In addition, a number of health conditions were associated with individual barriers, albeit some health conditions appeared protective. CONCLUSIONS: In general, older migrants with declining health experience more barriers to internet use than their counterparts with better health. To provide better access to healthcare for older adults, including older migrants, rapidly changing devices, software and apps need to be modified and adapted for those with specific health-related needs."
27093905,Transnational Motherhood: Health of Hispanic Mothers in the United States Who Are  Separated From Children.,2017,J Transcult Nurs,Journal Article,eng,"Immigration often results in the separation of families, and in particular  transnational parenting, which is the separation of mothers from children. Transnational mothers may have greater risks for poor mental health and behavioral conditions such as substance abuse, violence, sexual risk, and depression. This study was a secondary analysis of self-reported data from 425 Hispanic mothers (328 with no separations, 60 separated from an adult child, and 37 separated from a minor child) enrolled in a randomized trial of a sexual health group intervention in South Florida (USA). Separations were related to mother's age, years in the United States, family income, number of people living on income, acculturation to the United States, occupational/economic stress, immigration stress, and lifetime exposure to abuse. A follow-up analysis described the types of childhood or adulthood abuse experienced by mothers with separations. These findings provide new information for nurses about the experience of immigrant mothers."
32123052,Burnout and Emotional Well-Being among Nephrology Fellows: A National Online  Survey.,2020,J Am Soc Nephrol,"Journal Article; Research Support, Non-U.S. Gov't",eng,"BACKGROUND: Physician burnout and emotional distress are associated with work  dissatisfaction and provision of suboptimal patient care. Little is known about burnout among nephrology fellows. METHODS: Validated items on burnout, depressive symptoms, and well being were included in the American Society of Nephrology annual survey emailed to US nephrology fellows in May to June 2018. Burnout was defined as an affirmative response to two single-item questions of experiencing emotional exhaustion or depersonalization. RESULTS: Responses from 347 of 808 eligible first- and second-year adult nephrology fellows were examined (response rate=42.9%). Most fellows were aged 30-34 years (56.8%), male (62.0%), married or partnered (72.6%), international medical graduates (62.5%), and pursuing a clinical nephrology fellowship (87.0%). Emotional exhaustion and depersonalization were reported by 28.0% and 14.4% of the fellows, respectively, with an overall burnout prevalence of 30.0%. Most fellows indicated having strong program leadership (75.2%), positive work-life balance (69.2%), presence of social support (89.3%), and career satisfaction (73.2%); 44.7% reported a disruptive work environment and 35.4% reported depressive symptoms. Multivariable logistic regression revealed a statistically significant association between female gender (odds ratio [OR], 1.90; 95% confidence interval [95% CI], 1.09 to 3.32), poor work-life balance (OR, 3.97; 95% CI, 2.22 to 7.07), or a disruptive work environment (OR, 2.63; 95% CI, 1.48 to 4.66) and burnout. CONCLUSIONS: About one third of US nephrology fellows surveyed reported experiencing burnout and depressive symptoms. Further exploration of burnout-especially that reported by female physicians, as well as burnout associated with poor work-life balance or a disruptive work environment-is warranted to develop targeted efforts that may enhance the educational experience and emotional well being of nephrology fellows."
38064472,Simplifying phrases in depression screens: Interpreters' views on usefulness in  six languages.,2023,PLoS One,"Journal Article; Research Support, Non-U.S. Gov't",eng,"Assessments and treatments of mental health conditions such as depression use  language that may be difficult to understand or translate. Here, we studied how interpreters assessed the usefulness of simplifying the language of a depression screen. Two alternative versions of the PRIME-MD PHQ depression screen were generated, with increasing linguistic simplicity. All the versions (standard, moderately simplified and most simplified) were translated from Finnish into Arabic, English, Farsi, Russian, and Swedish. Ten professional interpreters then assessed the different usefulness aspects of the three versions. The interpreters' perceptions of usefulness of the different language versions for clients varied, and both simplified versions of the depression screen were commonly considered useful for interpreting contexts. The usefulness of the simplified language versions was seen as especially important for clients with multiple linguistic challenges, caused by, for example, dementia and immigration backgrounds. The language of depression screens can be greatly simplified. Simplified versions may significantly improve the accessibility of questionnaires for the wide range of individuals with compromised language competence. Simplified versions may also be helpful for inter-language interpreting in health care, and importantly, they may facilitate the transparency and cross-cultural calibration needed in evidence-based medicine."
